 waffle ,smear,chicken,drizzel,side,price,calories,protein,sodium,carbs,energy,num_occ
The Gingerbread,Strawberry-Creme,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,622.9,34.9,1383.0,92.3,22.75,1
The Vegan,Orange-Honeycomb,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),22.75,606.9,40.6,1105.2,64.2,22.75,1
The Vegan,Strawberry-Creme,A chicken cutlet,Candied Pecans,Mean Collard Greens (Spicy),22.75,673.9,39.6,1157.2,56.2,22.75,1
The Gingerbread,Vanilla-Almond,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,22.75,676.9,41.9,1488.0,70.3,22.75,1
The Gingerbread,Vanilla-Almond,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,22.75,659.9,29.9,1383.0,99.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),22.75,611.9,39.9,597.0,89.3,22.75,1
The Gingerbread,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,544.9,39.9,1243.0,76.3,22.75,1
The Vegan,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),22.75,606.9,40.6,1150.2,64.2,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Caramel & Salted Cashew,Fresh-Cut Fruit,22.75,589.9,37.9,583.0,88.3,22.75,1
The Vegan,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,591.9,38.6,1230.2,57.2,22.75,1
The Gingerbread,Chocolate-Hazelnut,A chicken cutlet,Candied Pecans,Fresh-Cut Fruit,22.75,658.9,36.9,1025.0,77.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,557.9,40.9,748.0,74.3,22.75,1
The Gingerbread,Baby-Blueberry,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,672.9,35.9,1383.0,98.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,22.75,565.9,46.9,1113.0,70.3,22.75,1
The Gingerbread,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),22.75,693.9,34.9,1517.0,99.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Candied Pecans,Fresh-Cut Fruit,22.75,656.9,36.9,635.0,80.3,22.75,1
The Gingerbread,Vanilla-Almond,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,642.9,34.9,1423.0,92.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,542.9,39.9,808.0,79.3,22.75,1
The Gingerbread,Maple-Pecan,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,22.75,671.9,47.9,928.0,66.3,22.75,1
The Gingerbread,Strawberry-Creme,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,22.75,645.9,41.9,1643.0,83.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Fresh-Cut Fruit,22.75,628.9,34.9,557.0,96.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,22.75,580.9,46.9,1003.0,64.3,22.75,1
The Gingerbread,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,22.75,561.9,34.9,1203.0,83.3,22.75,1
The Vegan,Vanilla-Almond,A chicken cutlet,Caramel & Salted Cashew,Sautéed Squash & Onions,22.75,649.9,47.6,1450.2,55.2,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Fresh-Cut Fruit,22.75,628.9,35.9,562.0,97.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,22.75,559.9,34.9,813.0,86.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Fresh-Cut Fruit,22.75,628.9,34.9,557.0,96.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,22.75,570.9,34.9,573.0,73.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),22.75,572.9,42.9,668.0,81.3,22.75,1
The Gingerbread,Vanilla-Almond,A chicken cutlet,Candied Pecans,Mean Collard Greens (Spicy),22.75,659.9,41.9,715.0,73.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,22.75,570.9,34.9,573.0,73.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),22.75,553.9,39.9,613.0,66.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,542.9,39.9,808.0,79.3,22.75,1
The Vegan,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,591.9,37.6,1225.2,56.2,22.75,1
The Gingerbread,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),22.75,635.9,34.9,1578.0,76.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,22.75,576.9,46.9,873.0,57.3,22.75,1
The Gingerbread,Peach-Apricot,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Sautéed Squash & Onions,22.75,675.9,45.9,1463.0,86.3,22.75,1
The Gingerbread,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,22.75,662.9,41.9,1923.0,74.3,22.75,1
The Gingerbread,Strawberry-Creme,A panko-crusted chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),22.75,633.9,34.9,1188.0,79.3,22.75,1
The Gingerbread,Baby-Blueberry,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,592.9,40.9,853.0,85.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,542.9,40.9,858.0,80.3,22.75,1
The Gingerbread,Baby-Blueberry,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,22.75,695.9,42.9,1643.0,89.3,22.75,1
The Gingerbread,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),22.75,555.9,39.9,1048.0,63.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,542.9,39.9,853.0,79.3,22.75,1
The Gingerbread,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),22.75,693.9,34.9,1517.0,99.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,22.75,559.9,35.9,818.0,87.3,22.75,1
The Gingerbread,Strawberry-Creme,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,637.9,34.9,1273.0,86.3,22.75,1
The Vegan,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,22.75,606.9,32.6,1490.2,53.2,22.75,1
The Vegan,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,22.75,593.9,32.6,1250.2,69.2,22.75,1
The Gingerbread,Peach-Apricot,A panko-crusted chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,22.75,654.9,30.9,1238.0,94.3,22.75,1
The Vegan,Peach-Apricot,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,22.75,604.9,33.6,1105.2,57.2,22.75,1
The Gingerbread,Orange-Honeycomb,A panko-crusted chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),22.75,633.9,34.9,1143.0,79.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Honey Dijon,Smooth Grits,22.75,672.9,39.9,1203.0,94.3,22.75,1
The Gingerbread,Vanilla-Almond,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,22.75,676.9,41.9,1488.0,70.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Candied Pecans,Fresh-Cut Fruit,22.75,656.9,36.9,635.0,80.3,22.75,1
The Gingerbread,Vanilla-Almond,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,22.75,590.9,34.9,658.0,73.3,22.75,1
The Gingerbread,Vanilla-Almond,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,22.75,676.9,41.9,1488.0,70.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,22.75,565.9,47.9,1118.0,71.3,22.75,1
The Vegan,Orange-Honeycomb,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,671.9,32.6,1710.2,69.2,22.75,1
The Gingerbread,Strawberry-Creme,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,637.9,34.9,1273.0,86.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,22.75,565.9,46.9,1068.0,70.3,22.75,1
The Gingerbread,Strawberry-Creme,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,622.9,34.9,1383.0,92.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),22.75,572.9,43.9,673.0,82.3,22.75,1
The Gingerbread,Maple-Pecan,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),22.75,648.9,40.9,668.0,75.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Candied Pecans,Mean Collard Greens (Spicy),22.75,639.9,42.9,680.0,74.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Honey Dijon,Smooth Grits,22.75,672.9,39.9,1203.0,94.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Honey Dijon,Smooth Grits,22.75,672.9,39.9,1203.0,94.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,22.75,565.9,47.9,1118.0,71.3,22.75,1
The Gingerbread,Peach-Apricot,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,622.9,35.9,1388.0,93.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,22.75,565.9,46.9,1068.0,70.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Asian Plum Sauce & Almonds,Smooth Grits,22.75,661.9,38.9,1348.0,106.3,22.75,1
The Gingerbread,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,559.9,39.9,1133.0,70.3,22.75,1
The Gingerbread,Orange-Honeycomb,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Sautéed Squash & Onions,22.75,675.9,44.9,1413.0,85.3,22.75,1
The Gingerbread,Strawberry-Creme,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),22.75,553.9,39.9,658.0,66.3,22.75,1
The Gingerbread,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),22.75,622.9,34.9,1338.0,92.3,22.75,1
The Gingerbread,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,22.75,559.9,35.9,818.0,87.3,22.75,1
